"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"208","MiddleFrontalGyrus","Putamen",0.327,-0.012,0,0.188568328409155,0.0236460307961937,0.141276266816767,0.235860390001542,-0.0485987529098269,0.425735409728136
"209","SuperiorFrontalGyrus","Putamen",0.327,-0.012,0,0.256955440516894,0.0236460307961937,0.209663378924506,0.304247502109281,0.0197883591979124,0.494122521835875
"210","Ventral_ACC","Putamen",0.327,-0.012,0,0.282270364151911,0.0236460307961937,0.234978302559524,0.329562425744298,0.0451032828329295,0.519437445470893
"211","Dorsal_ACC","Accum",0.827,-0.012,0,0.259613859143142,0.0321704356789587,0.195272987785224,0.323954730501059,0.0184677766561931,0.500759941630091
"212","InferiorFrontalGyrus","Accum",0.827,-0.012,0,0.191934290843616,0.0321704356789567,0.127593419485702,0.256275162201529,-0.0492117916433318,0.433080373330564
"213","Lateral_OFC","Accum",0.827,-0.012,0,0.21235030316656,0.0321704356789567,0.148009431808646,0.276691174524473,-0.028795779320388,0.453496385653507
"214","Medial_OFC","Accum",0.827,-0.012,0,0.215702111653416,0.0321704356789568,0.151361240295503,0.28004298301133,-0.0254439708335316,0.456848194140364
"215","MiddleFrontalGyrus","Accum",0.827,-0.012,0,0.154890921552609,0.0321704356789567,0.0905500501946951,0.219231792910522,-0.0862551609343391,0.396037004039556
"216","SuperiorFrontalGyrus","Accum",0.827,-0.012,0,0.202727206557318,0.0321704356789567,0.138386335199404,0.267068077915231,-0.03841887592963,0.443873289044265
"217","Ventral_ACC","Accum",0.827,-0.012,0,0.335321825133607,0.0321704356789568,0.270980953775693,0.39966269649152,0.0941757426466589,0.576467907620554
"218","Dorsal_ACC","Caudate",0.827,-0.012,0,0.226611915461403,0.0321704356789566,0.16227104410349,0.290952786819316,-0.0145341670255444,0.467757997948351
"219","InferiorFrontalGyrus","Caudate",0.827,-0.012,0,0.192430263888879,0.0321704356789568,0.128089392530966,0.256771135246793,-0.0487158185980685,0.433576346375827
"220","Lateral_OFC","Caudate",0.827,-0.012,0,0.198657430239234,0.0321704356789568,0.134316558881321,0.262998301597148,-0.0424886522477134,0.439803512726182
"221","Medial_OFC","Caudate",0.827,-0.012,0,0.16017599309145,0.0321704356789568,0.0958351217335365,0.224516864449364,-0.0809700893954976,0.401322075578398
"222","MiddleFrontalGyrus","Caudate",0.827,-0.012,0,0.173497191212835,0.0321704356789568,0.109156319854921,0.237838062570749,-0.0676488912741128,0.414643273699783
"223","SuperiorFrontalGyrus","Caudate",0.827,-0.012,0,0.208807094327266,0.0321704356789568,0.144466222969353,0.27314796568518,-0.0323389881596815,0.449953176814214
"224","Ventral_ACC","Caudate",0.827,-0.012,0,0.25063996286152,0.0321704356789568,0.186299091503607,0.314980834219434,0.00949388037457263,0.491786045348468
"225","Dorsal_ACC","Putamen",0.827,-0.012,0,0.484441958856912,0.0321704356789566,0.420101087498999,0.548782830214825,0.243295876369964,0.72558804134386
"226","InferiorFrontalGyrus","Putamen",0.827,-0.012,0,0.359779777387531,0.0321704356789568,0.295438906029618,0.424120648745445,0.118633694900584,0.600925859874479
"227","Lateral_OFC","Putamen",0.827,-0.012,0,0.255293274200893,0.0321704356789568,0.190952402842979,0.319634145558806,0.0141471917139451,0.496439356687841
"228","Medial_OFC","Putamen",0.827,-0.012,0,0.200646838340262,0.0321704356789568,0.136305966982348,0.264987709698176,-0.0404992441466857,0.44179292082721
"229","MiddleFrontalGyrus","Putamen",0.827,-0.012,0,0.210620311073439,0.0321704356789568,0.146279439715525,0.274961182431353,-0.0305257714135088,0.451766393560387
"230","SuperiorFrontalGyrus","Putamen",0.827,-0.012,0,0.285149382280162,0.0321704356789568,0.220808510922249,0.349490253638076,0.0440032997932144,0.52629546476711
"231","Ventral_ACC","Putamen",0.827,-0.012,0,0.311459011202667,0.0321704356789568,0.247118139844753,0.375799882560581,0.0703129287157192,0.552605093689615
"232","Dorsal_ACC","Accum",1.327,-0.012,0,0.270437256492156,0.0434841674454552,0.183468921601246,0.357405591383067,0.0222937966843189,0.518580716299993
"233","InferiorFrontalGyrus","Accum",1.327,-0.012,0,0.208246626876257,0.0434841674454514,0.121278291985354,0.295214961767159,-0.0398968329315781,0.456390086684091
